Título,avaliação,Quantidade de avaliação,Gêneros,Classificação Indicativa,Duração
Superman,7.2,303559,"Ação, Aventura, Ficção científica",14,2H9M
Weapons,7.6,158315,"Terror, Mistério",18,2H8M
The Long Walk,7.3,21220,Suspense,18,1H48M
One Battle After Another,8.6,8092,"Ação, Policial, Drama",16,2H41M
Him,5.4,4272,"Terror, Esportes",18,1H36M
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,8.6,36942,"Animação, Ação, Aventura",18,2H35M
The Conjuring: Last Rites,6.4,36761,"Terror, Mistério, Suspense",16,2H15M
28 Years Later,6.7,135790,"Terror, Ficção científica, Suspense",18,1H55M
Anaconda,Sem avaliação,Sem avaliação,"Ação, Aventura, Comédia",Sem classificação indicativa,Sem duração
A Big Bold Beautiful Journey,6.1,3898,"Drama, Fantasia, Romance",12,1H49M
The Wrong Paris,6.1,6987,"Comédia, Drama, Romance",12,1H45M
The Thursday Murder Club,6.5,53673,"Comédia, Policial, Mistério",12,1H58M
Swiped,6.3,2833,"Biografia, Drama, História",16,1H50M
KPop Demon Hunters,7.6,78953,"Animação, Ação, Aventura",10,1H35M
The Housemaid,Sem avaliação,Sem avaliação,Suspense,Sem classificação indicativa,Sem duração
Downton Abbey: The Grand Finale,7.7,4947,Drama,12,2H3M
F1,7.8,213897,"Ação, Drama, Esportes",12,2H35M
Relay,7.1,8140,"Ação, Drama, Suspense",R,1H52M
The Naked Gun,6.5,64871,"Ação, Comédia, Policial",14,1H25M
Highest 2 Lowest,5.6,19969,"Policial, Drama, Mistério",16,2H13M
Saiyaara,6.4,50362,"Drama, Musical, Romance",TV-14,2H30M
The Smashing Machine,8.7,10914,"Ação, Biografia, Drama",16,2H3M
Dracula: A Love Tale,6.1,5641,"Fantasia, Terror, Romance",16,2H9M
Sinners,7.6,281219,"Ação, Drama, Terror",16,2H17M
Elio,6.8,23755,"Animação, Aventura, Comédia",Livre,1H38M
Nobody 2,6.3,37636,"Ação, Comédia, Policial",18,1H29M
Mission: Impossible - The Final Reckoning,7.2,164100,"Ação, Aventura, Suspense",14,2H49M
Thunderbolts*,7.2,219415,"Ação, Aventura, Policial",14,2H7M
Ice Road: Vengeance,4.8,12694,"Ação, Aventura, Suspense",TV-14,1H52M
Prisoner of War,5.8,1121,"Ação, Suspense, Guerra",R,1H52M
Lilo &amp; Stitch,6.7,76541,"Ação, Aventura, Comédia",10,1H48M
Warfare,7.2,83480,"Ação, Drama, Guerra",16,1H35M
The Roses,7,13876,Comédia,16,1H45M
In Whose Name?,7.7,386,Documentário,R,1H44M
Freakier Friday,6.8,16673,"Comédia, Família, Fantasia",10,1H50M
Honey Don&apos;t!,5.3,10243,"Comédia, Policial, Mistério",18,1H29M
Bring Her Back,7.2,72089,"Terror, Mistério",18,1H44M
Jurassic World: Rebirth,5.9,136077,"Ação, Aventura, Ficção científica",14,2H13M
Caught Stealing,7.3,18635,"Comédia, Policial, Suspense",16,1H47M
Together,6.8,39390,"Terror, Romance",16,1H42M
28 Days Later,7.5,518616,"Drama, Terror, Ficção científica",16,1H53M
Jolly LLB 3,7.3,30320,"Comédia, Drama",Not Rated,2H37M
Materialists,6.3,56060,"Comédia, Romance",14,1H56M
The Shawshank Redemption,9.3,3102394,Drama,16,2H22M
The Fantastic Four: First Steps,7.2,145741,"Ação, Aventura, Ficção científica",12,1H54M
Ballerina,6.9,103114,"Ação, Suspense",18,2H4M
Den stygge stesøsteren,7,22750,"Comédia, Drama, Terror",Not Rated,1H49M
Mahavatar Narsimha,8.9,38112,"Animação, Ação, Drama",Not Rated,2H10M
Now You See Me: Now You Don&apos;t,Sem avaliação,Sem avaliação,"Policial, Suspense",Sem classificação indicativa,Sem duração
The Life of Chuck,7.3,33313,"Drama, Fantasia, Ficção científica",12,1H51M
She Said Maybe,5,754,"Comédia, Drama, Romance",TV-MA,1H47M
Tron: Ares,Sem avaliação,Sem avaliação,"Ação, Aventura, Ficção científica",PG-13,1H59M
Eden,6.4,16298,"História, Suspense",R,2H9M
Unknown Number: The High School Catfish,6.7,15173,"Documentário, Policial",16,1H34M
The Lost Bus,7.3,273,"Biografia, Drama, História",R,2H9M
Butch Cassidy and the Sundance Kid,8,235189,"Aventura, Biografia, Policial",12,1H50M
The Conjuring,7.5,601323,"Terror, Mistério, Suspense",14,1H52M
Anyone But You,6.1,156750,"Comédia, Romance",16,1H43M
